order_id,customer_name,product_name,category,quantity,unit_price,total_price,order_date
1,Rahim Islam,Watch,Accessories,2,150,300,2023-06-28
2,Rahim Rahman,Laptop,Electronics,1,800,800,2023-12-01
3,Karim Islam,Shoes,Fashion,2,80,160,2023-06-29
4,Karim Rahman,Laptop,Electronics,5,800,4000,2023-09-10
5,Amit Rahman,Phone,Electronics,5,500,2500,2023-02-07
6,Mim Ahmed,Bag,Fashion,3,60,180,2023-06-08
7,Fahim Hasan,Laptop,Electronics,4,800,3200,2023-02-10
8,Rahim Ahmed,Bag,Fashion,3,60,180,2023-04-05
9,Rahim Hasan,Laptop,Electronics,4,800,3200,2023-05-03
10,Amit Hossain,Shoes,Fashion,2,80,160,2023-03-19
11,Rahim Hossain,Bag,Fashion,3,60,180,2023-01-07
12,Sakib Islam,Bag,Fashion,4,60,240,2023-02-10
13,Jahid Rahman,Laptop,Electronics,5,800,4000,2023-10-24
14,Rafi Hossain,Laptop,Electronics,2,800,1600,2023-07-10
15,Fahim Islam,Bag,Fashion,1,60,60,2023-09-23
16,Karim Chowdhury,Phone,Electronics,3,500,1500,2023-10-28
17,Mim Ahmed,Laptop,Electronics,3,800,2400,2023-12-21
18,Mim Rahman,Shoes,Fashion,4,80,320,2023-12-21
19,Amit Chowdhury,Phone,Electronics,1,500,500,2023-02-14
20,Rafi Rahman,Watch,Accessories,3,150,450,2023-09-11
21,Nusrat Hossain,Bag,Fashion,3,60,180,2023-10-14
22,Karim Hossain,Laptop,Electronics,3,800,2400,2023-10-15
23,Jahid Hossain,Phone,Electronics,4,500,2000,2023-12-05
24,Rahim Islam,Phone,Electronics,5,500,2500,2023-05-23
25,Rafi Hossain,Shoes,Fashion,3,80,240,2023-11-19
26,Sakib Rahman,Phone,Electronics,3,500,1500,2023-09-14
27,Mim Chowdhury,Bag,Fashion,4,60,240,2023-06-21
28,Rahim Islam,Phone,Electronics,3,500,1500,2023-10-29
29,Rafi Chowdhury,Phone,Electronics,5,500,2500,2023-04-10
30,Fahim Hossain,Bag,Fashion,3,60,180,2023-12-23
